#식당안,그 날 신선한 제철재료로 안주인 기분에 따라 다양한 요리를 제공하는 식당!
#차츰,월마다 메뉴가 바뀌는 나만 알고 싶은 분위기 좋은 맛집!
#팔청식당영통점,"영통 반달공원 근처 숨겨진 맛집👍
이베리코 특수부위 #팔청식당 영통점😍
새우살 들어간 계란찜부터
비빔국수, 해물라면에 도시락까지😆
사이드만 먹어도 배부른거 실화?
나랑 고기 먹으러 갈 사람~🙌"
#화이트스노우,탑처럼 쌓아올린 아이스크림이 포인트인 생과일 빙수 맛집
#쿠로이시로,일본 느낌의 분위기와 여름한정 신메뉴 꿀밤빙수까지 즐길 수 있는 곳!
#사계빙수,신선한 생과일과 푸짐하게 올려진 토핑이 유명한 맛집!
#카인드엉클,시그니처 수박품은빙수 + 모든 빙수가 맛있다고 소문난 곳!
#우리가사랑하는동네,과일을 그대로 파내어 만든 메론과 파인애플 빙수 맛집!
#금커피별빙수,"세수대야 그릇에 과일이 듬뿍 담긴 포장, 배달 빙수 맛집!"
#빙찌,랭킹 1위 돼지빙수와 더불어 모든 빙수가 혜자인 맛집!
#파이어벨,육즙 팡팡 터지는 패티가 예술인 수제버거집! 단골도 많다구~
#우교당,1++한우를 정육 식당 가격으로 즐길 수 있는 콜키지 프리 한우 맛집!
#텐퍼센트커피,상위10% 스페셜티 생두로 만든 커피를 합리적인 가격에 즐길 수 있는 카페
#탄탄면공방광교법조타운점,생활의달인 명장이 만드는 국내 최초 한국식 탄탄면의 전문점
#스시노칸도판타지움점,모든 접시 균일가! 가성비 좋기로 유명한 회전초밥 체인점 퀄리티도 좋다구~
#크래프트루앤컴퍼니영통,양조장 직영의 수상 경력 화려한 수제맥주 맛집. 안주랑 같이 먹으면 환상!
#비스코티카페,푸짐한 비주얼의 르벵쿠키와 다양한 그릭요거트 디저트가 있는 카페
#경원해물찜,감칠맛 나는 양념이 예술인 해물찜 맛집! 마약볶음밥 필수!!
#라루치아,알 사람들은 다 알아서 이미 웨이팅 많다는 맛집! 먹고 나면 인생뇨끼 등극
#완벽한인생광교앨리웨이점,맛있는 녀석들에도 나온 찐맛집! 독일산 수제맥주와 함께하면 더 완벽함
#아마노,"특별하고 맛있는 메뉴와 편안한 분위기, 광교호수 뷰까지 모든걸 다 갖춘 맛집"
#그로또,캘리포니아 미슐랭 출신 쉐프가 건강한 재료로 요리 해주는 파스타! 단골 많음
#겟201광교점,신선한 재료 본연의 맛을 살린 가성비 좋은 파스타집! 로봇이 서빙해줌
#어반테라스쉼,강남에 이어 광교에 오픈! 식약처 등급 매우 우수하고 방문자 평점도 좋은 맛집
#오이탈리안,"셰프, 바리스타, 소믈리에, 디자이너가 만드는 음식과 문화를 담은 정성 가득한 공간"
#식당안,매일 다른 신선한 제철요리와 술을 즐길 수 있는 예스쉐프 우승자 안승은 쉐프의 식당
#돔,이탈리아 요리학교 출신 쉐프의 브런치 맛집 감성카페
#맥반BBQ영통구청점,먹고나면 무조건 하나 더 사서 포장해간다는 바베큐 전문점
#무하,반려견 동반 가능한 다도를 즐기는 티 카페(와인도 있음)
#스시이세이,소믈리에가 엄선한 사케와인과 신선한 제철 해산물로 만든 스시 오마카세
#위스키무드,좋은 재료로 만드는 칵테일과 다양한 위스키가 있는 캐주얼 몰트바
#꿀꿀진순대영통구청점,국내 최초! 삼이 들어 있는 푸짐하고 맛있는 순대국집
#테디쿠기,선물하기 좋은 쿠키케이크가 있는 아기자기한 인테리어의 쿠기 맛집
#마라영웅아주대점,서울에서 1등 찍고 온 한국인 입맛 저격하는 사골 국물의 마라탕집
#효자막창,"야외에서 먹는 곱창 대창이 진짜 꿀맛
인테리어 보고 왔다가 맛에 반해 단골 많음
직원분들 다 엄청 친절하셔서 기분 좋음"
#만선호프광교직영점,"을지로 가지 않아도 마늘치킨 영접 가능
광교호수근처라 치맥하기 딱 좋음
넓고 자리 많은데 사람도 그만큼 많은 편"
#아무술집인계점,"을지로 골목에 들어온 것 같은 인테리어
인계동에서 제일 유명한 술집 안주대박임
벽에 낙서해도 아무도 뭐라 안함"
#만고쿠,일본 가정식 덮밥 맛집!
#쿠지라,경희대생이 많이 찾는 튀김 덮밥 맛집!
#은행골,줄서서먹을 정도로 맛있는 스시맛집!
#우재초밥,오마카세 형식으로 나오는 저렴한 스시 맛집!
#슈코우,일본 가정식 덮밥 맛집!
#돈카츠마켙,혼밥하기 좋은 돈가스 맛집
#고씨커피,"☕️커피 맛집 고씨커피☕️
경희대생들한테 소문난 맛집⭐️
인테리어도 깔끔쓰한 화이트톤,
원목에 갈대숲 앞 포토존까지📸
음료랑 디저트도 다양해서
계속 앉아있고 싶어지는 카페🥰"
#매스버거,버거에서 육즙나오는 신세계 경험할 수 있음
#크레마노,"에스프레소 세계챔피언이 운영하는 에스프레소바!
분위기도 좋아서 이탈리아에서 커피 먹는 느낌"
#보배반점,"불맛 제대로인 짬뽕과 바삭쫀득한 탕수육까지
정신차려보면 한그릇 뚝딱-!"
#포케올데이,"맛과 건강을 모두 챙길 수 있는 포케올데이!
신선한 재료에 양도 많아서 재방문율 100%"
#이엘케이크,"특별한 날 맞추기 좋은 레터링 케이크 맛집!
이쁘기만 한게 아니라 맛도 있어서 감동은 두 배~"
#승도리네곱도리탕,"곱창 대창 닭고기 우삼겹
다 먹고 싶을 때-!🔥
이 모든걸 얼큰한 국물과 함께
소주? 맥주? 둘다 말아버려~
곱도리탕 우도리탕 맛집"
#유멜로우,화이트톤의 실내와 조명이  환상이라구!! 
#카페운트,화이트와 원목의 조화. 쿠키 맛집으로도 유명해 :) 
#서동진의커피랩,모던한 인테리어와 조용한 분위기!! 맛좋은 커피까지 >.< 
#라이킷,영통속 작은 유럽. 건강한 재료로 만든 디저트가 맛나ㅎ 
#쿠로이시로,원목으로 따뜻한 분위기를~핸드드립과 사이폰 커피bb 
#쏘칼로커피,멕시코의 색과 양식이 독특한 카페. 멕시코 커피까지 >.< 
#작은식탁,"혜성처럼 등장한 영통 두루치기 맛집🥰
매콤하고 불향 가득나는 맛으로
입맛을 사로잡아버린다구🔥
100시간 숙성 소스와 작은식탁만의
레시피로 차원이 다른 두루치기 먹방 >.<
이건...못참지~~😱😱"
#황소가한우곱창,"영통동 중심상가에 위치! 간과 천엽을 서비스로 줌ㅎ
국내산 한우곱창을 착한 가격에 맛볼 수 있다9~:)"
#땡이네소곱창,깔끔한 곱창 손질로 유명!!! 너무 기름지지 않아서 찾는 분들이 많아~ 웨이팅 시간이 아깝지 않은 맛집
#미소곱창,"영통피플 중 미소곱창 모르면 간첩! 중심상가대표 곱창집 :) 마장동 당일 도축, 신선한 한우 제공 >.<"
#꿀꿀이네,내가 꿀꿀이기는 한데…우리집은 아니야… 곱창은 볶아야 제맛이지!!! 특제소스와 숯불의 만남
#부뚜막,소곱창과 갈비의 만남 >.< 다른 곳에서는 맛볼 수 없는 메뉴라구~ 뜨끈하고 맛좋은 소곱창갈비찜
#후니네소곱창,"착한 가격과 친절한 사장님의 콜라보:) 막창, 대창, 곱창 다 맛있는 엄청난 평점의 맛집!!! @잡내 zero"
#참숯생막창,"무려 40년 전통을 자랑하는 맛집. 오랫동안 숙성, 참숯에 구워서 나오는 생막창과 곱창이 인기만점!!!"
#누룽지,"영통중심상가 대표한식 주점
뜨끈매콤한 닭도리탕으로🐔
몸보신하고 자작한 국물을
계란밥에 쓱싹해서 마무리🍳

바삭고소한 야채호박전
뜨거운 돌판에 나오니까
끝까지 뜨겁게 혀를 달군다9👅

거기에 누룽지특주 한 잔까지!!!
맛난 한식이 가득한 누룽지에"
#쏘삼208,"소고기 러버들을 위한
‘우대통갈비’🐮
매운맛 러버들을 위한
치즈 송송 들어간~
‘매콤 껍데기’와 ‘매콤불막창’🐷
특제소스까지 있다9!!!"
#BLEND,"예술같은 브런치들 가득- 양도 많고 맛도 좋은 브런치 세트 환상..
미국식 브런치 먹고 싶으면 꼭 가야됨ㅜㅜ"
#서천테이블,든든하지만 가벼운 맛집! 두툼한 샌드위치들과 신선한 샐러드 조합ㅜㅜ 특히 샐러드 파스타가 베스트메뉴라구..!!!
#어글리스토브,시즌메뉴부터 세트메뉴까지 다양한 메뉴들! 가성비도 좋아서 여러개 시켜서 우걱우걱 먹으면 환상임ㅇㅇ
#레트로카페33,"비건메뉴도 있어서 논비건, 비건 구분없이 좋은 식재료로 건강하게 먹을 수 있는 맛집~ 아늑하니 분위기도 최고"
#그로또,"해썹인증 친환경 식자래로 만들어서 그런지 산뜻함-
양도 어마무시해서 혼자서는 다 못먹을껄..?"
#나쿠펜다,"빈티지 소품들로 감성뿜뿜~ 혼자 먹기 딱 좋음!
고르곤졸라 치즈 파니니 존맛탱…"
#청진옥,청국장+제육볶음 조합 환상적… 백반 영통 최고봉 맛집ㅜ
#신가네,다양한 메뉴와 매일 바뀌는 대혜자 반찬들! 경희대생 점심은 여기가 책임짐
#장터밥상,"토실토실한 계란말이 양 미쳤음;;;
집밥 먹고 싶을 때 가서 배터지게 먹으면 행복만땅"
#돈보랑,"돈까스 무한리필 뷔페~ 비빔밥, 제육 등 반찬들도 알차게 구성되어 잇숨ㅜㅜ"
#행복한김밥,"인심좋은 사장님 사모님 덕분에 경희대생들한테 인기-!
매일 바뀌는 백반과 제육볶음은 사랑입니다ㅠㅠ"
#방울엄마국밥,부산의 맛을 느끼고 싶다면 강추! 맑은 육수에 부추 팍팍 넣어 먹으면 핵꿀맛
#담소순대국,영통피플 중에 여기 모르는 사람있음..? 술을 부르는 마성의 담소..
#찌개지존,김치찌개에 통고기 들어가는 미친 양..여기 계란말이도 존맛인 거 알고들있나~?
#돼지새마을본부,"입에서 탄성이 나오는 특수부위 맛집
가격은 저렴한데 서비스는 특집임ㅋ 다들 한번가면 단골될껄?"
#머내,"선지해장국 맛집이기도 함ㅇㅇ 근데 여기 삼겹살 역대급으로 미친맛
신선도 최강 김치조차 맛있는 찐맛집"
#육풍,고기말고도 무한리필 셀프빠 있음ㅜㅜ 셀프빠에 간장게장 있는 거 실화..?
#영포화로,"워터에이징으로 숙성해서 육즙 팡팡-!
가득한 두꺼운 한돈 삼겹살이랑 육회탕탕이에 소주 먹으면 환상적.."
#청담칼국수,"양이 엄청남 멸치 육수라 맑고 깊은 맛!
김치도 익은 거 안 익은 거 센스있게 두가지 있어서 존좋"
#등촌칼국수,"등촌 칼국수에 계란죽 안 먹음 상종하지 않는다.
등촌 안 좋아하는 사람 없자나~"
#깡우동,영통 명물 깡우동ㅋ 술먹고 항상 깡우동 가서 해장 겸 소주 먹는 거 국룰
#총각칼국수,"면사리 무한리필 대혜자!!! 칼국수도 5500원임ㄷㄷ
사장님 남는 거 있으세요..?"
#백청우칼국수,싱싱한 해산물 듬뿍- 시원하니 만두랑 먹으면 1석2조임ㅜ
#교동짬뽕,"아름다운 가격에 불향까지 완벽ㅜ
부추팍팍 추가해서 얼큰한 국물+면 한입하면 술이 생각나는 맛"
#해를품은짬뽕,"아름다운 가격에 불향까지 완벽ㅜ
부추팍팍 추가해서 얼큰한 국물+면 한입하면 술이 생각나는 맛"
#수타원,큰 소갈비 덩어리가 들어가는 갈비짬뽕! 소뼈로 우린 육수에 칼칼함가지 JMT
"#포명천천
",맛과 가성비를 한방에 해결해주는 맛집! 삼선짬뽕에 오징어 한마리 듬뿍 담아줌ㅜㅜ
#948키친,"샐러드바가 무한리필인 맛집
종류도 다양해서 애슐리 빰치는 곳 푸파ㄱ"
#저크트럭,"여기 소고기 불초밥 존맛.
달달한 데리야끼소스 잔뜩+생양파 얇게 올라가서 개꿀맛"
#테그42,"매콤달콤한 소스에 보들보들한 달걀까지 ㅜㅜㅜ
개인적을 에그드X보다 훨씬 맛있음ㅎㅎ"
